PLATFORM,CATEGORY,CONTEST,BOUNTY,HRF,nSLOC,PARTICIPANTS,DATE
Code4rena,DAO,[[https://code4rena.com/reports/2023-08-arbitrum][Arbitrum security council election system]],90500,1,2184,39,2023-09
Code4rena,DAO,[[https://code4rena.com/reports/2023-06-llama][Llama]],60500,2,2096,50,2023-07
Code4rena,Stablecoin,[[https://code4rena.com/reports/2023-06-lybra][Lybra finance]],60500,8,1762,136,2023-08
Code4rena,Dexes,[[https://code4rena.com/reports/2023-05-maia][Maia DAO ecosystem]],300500,35,10997,85,2023-05
Code4rena,Yield,[[https://code4rena.com/reports/2023-07-pooltogether#wardens][PoolTogether]],121650,9,3324,117,2023-07
Code4rena,Yield,[[https://code4rena.com/reports/2023-08-pooltogether][PoolTogether v5: part deux]],42000,2,1001,45,2023-08
Sherlock,Lending,[[https://audits.sherlock.xyz/contests/75][Ajna update]],85600,6,5659,155,2023-06
Sherlock,Yield Agreggator,[[https://audits.sherlock.xyz/contests/41][Blueberry]],72500,10,,284,2023-02
Sherlock,Yield Agreggator,[[https://audits.sherlock.xyz/contests/104/report][Blueberry Update #3]],23600,5,3633,183,2023-08
Sherlock,Options,[[https://audits.sherlock.xyz/contests/99][Bond options]],23600,2,885,153,2023-07
Sherlock,Lending,[[https://audits.sherlock.xyz/contests/107][Cooler update]],17000,4,512,170,2023-08
Sherlock,Dexes,[[https://audits.sherlock.xyz/contests/97][GFX labs]],20400,2,716,106,2023-07
Sherlock,Derivatives,[[https://audits.sherlock.xyz/contests/74][GMX]],200000,5,10571,220,2023-04
Sherlock,Lending,[[https://audits.sherlock.xyz/contests/84][Iron bank]],67400,1,2241,271,2023-05
Sherlock,Derivatives,[[https://audits.sherlock.xyz/contests/79][Perennial]],122000,1,4063,220,2023-05
Sherlock,Derivatives,[[https://audits.sherlock.xyz/contests/106][Perennial v2]],125200,6,2494,252,2023-07
Sherlock,Derivatives,[[https://audits.sherlock.xyz/contests/85][Symmetrical]],91000,8,3553,233,2023-06
Sherlock,Derivatives,[[https://audits.sherlock.xyz/contests/108][Symmetrical Update]],27600,2,3921,52,2023-08
Sherlock,Launchpad,[[https://audits.sherlock.xyz/contests/100][Tokensoft]],21400,1,769,221,2023-07
Sherlock,Stablecoin,[[https://audits.sherlock.xyz/contests/73][Unitas protocol]],36400,1,1433,208,2023-06
Code4rena,RWA,[[https://code4rena.com/contests/2023-01-ondo-finance-contest][Ondo finance]],60500,1,4365,74,2023-01
Sherlock,Indexes,[[https://audits.sherlock.xyz/contests/81][Index coop]],130600,2,4383,283,2023-05
Sherlock,Stablecoin,[[https://audits.sherlock.xyz/contests/82][USSD]],18200,3,402,224,2023-05
Sherlock,RWA,[[https://audits.sherlock.xyz/contests/98][Dinari]],16000,1,575,176,2023-07
Sherlock,Dexes,[[https://audits.sherlock.xyz/contests/88][RealWagmi]],33200,5,1080,203,2023-06
Code4rena,DAO,[[https://code4rena.com/reports/2023-07-nounsdao][Nouns DAO]],100000,1,9098,36,2023-07
Sherlock,Dexes,[[https://audits.sherlock.xyz/contests/89][DODO v3]],57800,5,2079,151,2023-06
Sherlock,Derivatives,[[https://audits.sherlock.xyz/contests/72][Hubble Exchange]],60000,3,1945,148,2023-06
Code4rena,Stablecoin,[[https://code4rena.com/contests/2023-06-angle-protocol-invitational][Angle Protocol]],52500,3,2276,5,2023-07
Code4rena,Liquidity manager,[[https://audits.sherlock.xyz/contests/86][Arrakis]],81400,2,2801,247,2023-06
Sherlock,Dexes,[[https://audits.sherlock.xyz/contests/95][Unstoppable]],36400,8,2035,130,2023-06
TOTALS,,,2255950,145,3095.1,157.32258,
